,PTPRS (M),KRAS (M),BRAF (M),MYC/8q (Amp)
PTPRS (M),-1.62,-0.8,0.48,-1.7
KRAS (M),-0.66,0.36,-2.78,-0.95
BRAF (M),0.0,-3.04,-0.84,-0.84
MYC/8q (Amp),-1.12,-2.08,-2.05,0.45
