,PTPRS (M),KRAS (M),BRAF (M),TGFBR2 (M)
PTPRS (M),-2.22,-0.35,0.62,-0.0
KRAS (M),-1.15,0.05,-2.8,-0.02
BRAF (M),-0.0,-2.87,-1.15,0.0
TGFBR2 (M),0.98,-0.66,0.69,-2.7
