,PTPRS (M),KRAS (M),BRAF (M),null
PTPRS (M),-2.06,-0.86,0.52,0.0
KRAS (M),-0.43,0.02,-2.72,0.0
BRAF (M),0.0,-3.02,-1.14,0.0
null,0.0,0.0,0.0,0.0
