,PTPRS (M),KRAS (M),BRAF (M),TP53 (M)
PTPRS (M),-1.35,-0.76,0.32,-1.17
KRAS (M),-0.99,0.91,-3.0,-1.33
BRAF (M),0.0,-3.18,-0.32,-1.25
TP53 (M),-2.9,-3.35,-3.31,2.02
