,PTPRS (M),KRAS (M),BRAF (M),KMT2D (M)
PTPRS (M),-2.02,-0.92,0.42,-0.01
KRAS (M),-0.01,0.07,-2.62,-1.47
BRAF (M),-0.07,-3.01,-1.23,0.66
KMT2D (M),1.98,-0.95,-0.86,-1.85
