,PTPRS (M),KRAS (M),BRAF (M),RAC1/7p (Amp)
PTPRS (M),-1.52,-1.23,0.19,-1.38
KRAS (M),-0.28,0.18,-2.5,-0.42
BRAF (M),0.0,-3.64,-0.73,-1.22
RAC1/7p (Amp),-2.12,-3.21,-2.62,0.59
