,T0,T1,T2,C_1
T0,-0.67,-1.25,0.1,-0.12
T1,0.04,-2.09,-0.02,-0.0
T2,0.18,0.78,-2.11,-0.04
C_1,-0.91,-0.01,0.07,-1.75
