,T0,T1,T2,B_1
T0,-0.69,-1.21,0.2,-0.01
T1,-0.02,-2.1,0.24,0.0
T2,-0.05,0.5,-2.28,0.53
B_1,-0.02,0.12,-0.79,0.01
