,T0,T1,T2,D_0
T0,-0.79,-1.52,-0.17,0.57
T1,0.01,-2.16,-0.21,0.34
T2,0.33,0.87,-2.14,-0.18
D_0,-0.29,0.2,0.43,-0.91
