,T0,T1,T2,D_0
T0,-0.77,-0.0,0.27,-0.01
T1,-0.01,-2.05,-0.04,1.03
T2,-0.01,-0.0,-1.9,-0.27
D_0,-0.08,-0.0,0.18,-2.28
