,T0,T1,T2,B_1
T0,-0.68,0.1,0.36,-0.3
T1,-0.03,-2.06,-0.06,0.29
T2,-0.12,-0.02,-1.96,0.15
B_1,0.29,-0.06,-0.41,-0.08
