,T0,T1,T2,C_0
T0,-0.61,-1.27,0.0,-0.0
T1,-0.0,-2.03,0.0,-0.0
T2,0.42,0.42,-2.02,-0.0
C_0,-1.09,0.19,-0.05,-1.53
