,T0,T1,T2,A_0
T0,-0.86,-0.95,-0.14,0.15
T1,-0.17,-2.01,0.0,-0.39
T2,0.29,0.69,-2.04,-1.03
A_0,-0.11,-0.17,-0.0,-2.37
