,T0,T1,T2,D_0
T0,-0.88,-0.69,-0.08,0.07
T1,-0.45,-2.05,0.26,0.46
T2,0.19,0.51,-2.01,-0.3
D_0,-0.25,-0.0,0.36,-2.16
