,T0,T1,T2,E_2
T0,-0.94,-0.46,0.0,0.48
T1,-0.71,-2.0,0.6,-0.01
T2,0.0,0.21,-2.03,0.66
E_2,-1.04,-0.33,-0.71,-1.9
