,T0,T1,T2,B_2
T0,-0.88,-0.92,-0.08,0.12
T1,-0.26,-2.05,0.31,-0.0
T2,0.21,0.47,-2.01,-0.16
B_2,-0.26,0.24,-0.02,-1.53
