,T0,T1,T2,C_3
T0,-0.86,-0.63,-0.37,0.02
T1,-0.46,-2.08,0.26,0.19
T2,0.39,0.5,-2.05,-0.12
C_3,-0.77,-0.13,0.17,-0.2
