,EGFR (M),MET (M),KRAS (M),BRAF (M),NF1 (M)
EGFR (M),-0.05,-3.43,-5.55,-2.97,-2.84
MET (M),-3.49,-2.11,-2.46,-1.72,-0.77
KRAS (M),-5.58,-2.64,0.14,-2.49,-1.98
BRAF (M),-3.0,-1.76,-2.12,-1.98,-0.51
NF1 (M),-2.9,-0.81,-1.42,-0.5,-1.96
