,EGFR (M),MET (M),KRAS (M),BRAF (M),EPHA7/6q (Del)
EGFR (M),0.07,-3.52,-5.42,-2.82,-1.53
MET (M),-3.45,-1.97,-2.32,-1.58,-1.26
KRAS (M),-5.57,-2.79,0.27,-1.99,-1.63
BRAF (M),-3.0,-1.77,-2.4,-1.96,-0.13
EPHA7/6q (Del),-1.12,-1.4,-0.49,-0.57,-0.61
