,EGFR (M),MET (M),KRAS (M),BRAF (M),STK11 (M)
EGFR (M),0.03,-3.56,-5.39,-2.92,-3.42
MET (M),-3.59,-2.02,-2.22,-1.69,-2.1
KRAS (M),-5.62,-2.9,0.18,-1.97,-1.36
BRAF (M),-3.07,-1.82,-2.61,-1.93,-0.31
STK11 (M),-3.78,-2.41,-0.0,-1.07,-1.28
