,EGFR (M),MET (M),KRAS (M),BRAF (M),RB1/13q (Del)
EGFR (M),-0.04,-3.39,-5.52,-2.9,-0.77
MET (M),-3.36,-2.06,-2.59,-1.69,-0.7
KRAS (M),-5.31,-2.42,0.2,-2.49,-1.5
BRAF (M),-2.94,-1.75,-2.08,-1.94,-0.51
RB1/13q (Del),-0.0,-0.82,-0.98,-0.82,-0.9
