,EGFR (M),MET (M),KRAS (M),BRAF (M),PIK3CA (M)
EGFR (M),-0.14,-3.37,-5.48,-2.91,-0.29
MET (M),-3.48,-2.16,-2.42,-1.73,-0.0
KRAS (M),-5.49,-2.62,0.06,-2.32,-0.55
BRAF (M),-3.04,-1.76,-2.23,-1.99,-0.36
PIK3CA (M),0.0,-0.05,-0.2,-0.81,-2.8
