,T0,T1,T2,B_2
T0,-0.89,-0.57,0.1,-0.33
T1,-0.47,-1.93,-0.0,0.57
T2,0.01,0.71,-2.08,-0.18
B_2,-0.01,-0.0,-0.0,-1.64
