,T0,T1,T2,A_1
T0,-0.9,-1.01,0.15,0.0
T1,-0.11,-1.87,0.0,-0.75
T2,0.0,0.7,-2.07,-0.59
A_1,-0.14,-0.01,-0.75,-2.19
