,T0,T1,T2,B_2
T0,-0.82,-0.98,0.11,-0.12
T1,-0.38,-1.97,0.0,0.53
T2,0.15,0.64,-2.05,-0.15
B_2,-0.05,0.12,-0.05,-1.57
