,T0,T1,T2,A_0
T0,-0.87,-0.8,0.31,-0.02
T1,-0.47,-1.85,-0.0,-0.16
T2,-0.04,0.69,-1.98,-1.07
A_0,-0.0,-0.81,-0.17,-2.39
