,T0,T1,T2,E_0
T0,-0.87,-0.28,-0.05,0.0
T1,-0.28,-1.85,0.0,-0.01
T2,-0.0,0.17,-2.04,0.61
E_0,-0.0,-0.16,0.0,-2.56
