,T0,T1,T2,B_1
T0,-0.88,-0.26,-0.0,-0.0
T1,-0.32,-1.86,0.18,0.0
T2,-0.01,0.0,-1.97,-0.0
B_1,0.13,0.32,-0.16,-0.1
