,T0,T1,T2,D_0
T0,-0.93,-0.83,-0.03,0.54
T1,-0.02,-1.93,0.14,-0.0
T2,-0.0,-0.0,-1.97,-0.0
D_0,0.0,1.06,-0.04,-1.45
