,T0,T1,T2,A_1
T0,-0.95,-0.14,0.0,0.07
T1,-0.66,-2.02,0.0,-0.1
T2,0.19,0.59,-2.35,-0.0
A_1,0.0,-0.38,-0.0,-2.25
