,T0,T1,T2,A_1
T0,-0.83,-1.35,0.0,0.0
T1,-0.27,-2.04,-0.24,-0.04
T2,-0.0,-0.0,-2.09,-0.02
A_1,-0.41,0.0,-0.22,-2.12
