,T0,T1,T2,B_0
T0,-0.83,-1.12,0.0,-0.0
T1,-0.4,-2.02,-0.19,0.0
T2,-0.0,-0.01,-2.07,-0.14
B_0,-0.14,0.21,-0.16,-1.76
