,T0,T1,T2,C_2
T0,-0.83,-0.41,-0.03,-0.32
T1,-1.05,-1.93,-0.0,-0.0
T2,0.0,-0.07,-2.05,-0.28
C_2,-1.18,-0.0,-0.0,-1.65
