,T0,T1,T2,B_0
T0,-0.88,-0.77,0.05,-0.02
T1,-0.44,-2.0,0.0,0.44
T2,0.26,1.02,-2.28,-0.28
B_0,-0.31,0.0,-0.45,-1.58
