,T0,T1,T2,A_1
T0,-0.91,-0.65,0.32,-0.0
T1,-0.54,-1.92,0.0,-0.01
T2,0.0,1.04,-2.21,-0.69
A_1,-0.18,-0.29,-0.6,-2.27
