,T0,T1,T2,E_0
T0,-0.9,-0.51,0.01,0.15
T1,-0.64,-1.9,0.0,-0.02
T2,0.22,1.02,-2.31,-0.03
E_0,0.0,-0.3,-0.02,-2.63
