,T0,T1,T2,C_0
T0,-0.85,-0.74,0.0,-0.34
T1,-0.4,-1.97,0.0,0.18
T2,0.29,0.97,-2.32,-0.0
C_0,-0.27,0.0,-0.0,-1.75
