,EGFR (M),MET (M),KRAS (M),BRAF (M),TP53 (M)
EGFR (M),0.37,-3.57,-5.66,-2.91,-2.42
MET (M),-3.25,-1.71,-2.44,-1.63,-1.88
KRAS (M),-5.35,-2.95,0.61,-2.5,-3.31
BRAF (M),-2.83,-1.84,-2.21,-1.55,-1.91
TP53 (M),0.0,-0.76,-0.84,-0.24,-0.02
