,EGFR (M),MET (M),KRAS (M),BRAF (M),PIK3CA (M)
EGFR (M),-0.14,-3.37,-5.48,-2.91,-0.29
MET (M),-3.48,-2.16,-2.43,-1.73,-0.0
KRAS (M),-5.49,-2.61,0.06,-2.32,-0.54
BRAF (M),-3.05,-1.76,-2.23,-1.99,-0.36
PIK3CA (M),-0.0,-0.04,-0.2,-0.8,-2.8
