,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),MET (M)
ATRX (M),-3.36,-0.23,-0.55,-0.05,-0.0,-0.42
SETD2 (M),-0.22,-2.98,-0.36,0.0,-0.0,-0.83
BCL2/18q (Del),-0.07,-0.27,-1.07,0.49,-0.08,-0.5
SMAD4 (M),-0.16,0.0,0.0,-3.39,-0.03,-0.03
PIK3CA (M),-0.0,-0.0,-0.36,-0.01,-2.81,-0.12
MET (M),-0.36,-0.82,-0.86,-0.01,-0.12,-2.95
