,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),MCL1/1q (Amp)
ATRX (M),-3.32,-0.15,-0.62,-0.03,-0.0,-0.16
SETD2 (M),-0.14,-2.76,-0.0,0.0,-0.0,-1.46
BCL2/18q (Del),-0.01,-0.63,-1.07,0.57,-0.0,-0.06
SMAD4 (M),-0.09,0.0,-0.0,-3.25,-0.0,-0.45
PIK3CA (M),0.0,-0.0,-0.48,-0.01,-2.76,-0.11
MCL1/1q (Amp),-0.18,-0.47,-1.79,-0.2,-1.13,-0.33
