,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),KRAS (M)
ATRX (M),-3.45,-0.11,-0.17,-0.12,0.0,0.0
SETD2 (M),-0.01,-2.64,-0.52,0.0,-0.0,-1.8
BCL2/18q (Del),-0.0,-0.18,-0.74,0.46,-0.02,-1.81
SMAD4 (M),-0.0,0.0,0.0,-3.06,-0.0,-1.81
PIK3CA (M),0.0,-0.0,-0.37,-0.01,-2.55,-1.14
KRAS (M),0.46,-0.2,-0.72,-0.04,-0.08,-0.51
