,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),ERBB2 (M)
ATRX (M),-3.37,-0.23,-0.56,-0.06,-0.0,-0.32
SETD2 (M),-0.22,-2.98,-0.35,0.0,-0.0,-1.04
BCL2/18q (Del),-0.06,-0.29,-1.07,0.47,-0.05,-0.55
SMAD4 (M),-0.17,0.0,0.0,-3.38,-0.03,-0.41
PIK3CA (M),0.0,-0.0,-0.39,-0.01,-2.81,-0.0
ERBB2 (M),-0.28,-1.0,-0.83,-0.27,-0.0,-3.06
