,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),RB1/13q (Del)
ATRX (M),-3.35,-0.24,-0.54,-0.04,0.0,-0.15
SETD2 (M),-0.14,-2.9,-0.11,0.0,-0.0,-1.01
BCL2/18q (Del),-0.16,-0.28,-1.28,0.63,-0.01,0.86
SMAD4 (M),-0.14,0.0,0.0,-3.27,-0.03,-0.67
PIK3CA (M),0.0,-0.0,-0.41,-0.01,-2.73,-0.43
RB1/13q (Del),-0.06,-0.59,0.0,-0.64,-0.46,-1.16
