,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),EGFR/7p (Amp)
ATRX (M),-3.23,-0.17,-0.52,-0.06,-0.0,-0.7
SETD2 (M),-0.3,-2.8,-0.0,0.0,-0.0,-1.62
BCL2/18q (Del),-0.03,-0.55,-1.09,0.53,-0.0,0.0
SMAD4 (M),-0.13,0.0,0.0,-3.26,-0.01,-0.53
PIK3CA (M),0.0,-0.0,-0.41,-0.01,-2.7,-0.41
EGFR/7p (Amp),-0.27,-0.43,-0.62,-0.49,-0.87,-0.69
