,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),APC (M)
ATRX (M),-3.38,-0.22,-0.53,-0.06,-0.0,-0.0
SETD2 (M),-0.21,-2.99,-0.4,0.0,-0.0,-0.21
BCL2/18q (Del),-0.1,-0.23,-1.09,0.48,-0.02,-0.09
SMAD4 (M),-0.17,0.0,0.0,-3.39,-0.02,-0.0
PIK3CA (M),-0.0,-0.0,-0.44,-0.01,-2.79,-0.42
APC (M),-0.0,-0.26,-0.6,-0.0,-0.43,-3.33
