,T0,T1,T2,B_0
T0,-0.79,-1.05,-0.07,0.0
T1,-0.1,-2.03,-0.0,0.27
T2,0.19,0.58,-2.13,-0.27
B_0,-0.09,0.12,0.03,-1.66
