,T0,T1,T2,D_0
T0,-0.87,-1.59,-0.05,0.57
T1,-0.08,-2.16,-0.0,0.75
T2,0.16,0.52,-2.09,-0.29
D_0,-0.31,0.05,0.48,-1.32
