,T0,T1,T2,E_3
T0,-0.82,-0.79,0.1,-0.0
T1,-0.19,-1.93,0.0,-0.24
T2,-0.0,0.6,-2.12,0.08
E_3,-0.01,-0.17,0.16,-1.86
