,T0,T1,T2,B_1
T0,-0.75,0.01,0.29,-0.15
T1,-0.64,-2.0,0.0,0.42
T2,-0.02,0.29,-2.11,0.06
B_1,0.07,-0.01,-0.42,-0.11
