,T0,T1,T2,E_0
T0,-0.84,-0.0,0.17,0.65
T1,-0.6,-1.83,0.11,0.02
T2,0.0,0.25,-2.14,0.7
E_0,-0.92,-0.09,-0.39,-2.35
