,T0,T1,T2,A_1
T0,-0.79,0.01,0.24,-0.18
T1,-0.57,-1.83,0.06,0.01
T2,0.07,0.34,-2.07,-0.6
A_1,0.26,-0.39,-0.47,-2.19
