,T0,T1,T2,E_0
T0,-0.74,-0.18,-0.15,0.0
T1,-0.58,-1.68,0.0,-0.0
T2,-0.0,0.8,-2.04,-0.0
E_0,0.0,-0.0,-0.0,-2.67
