,T0,T1,T2,D_0
T0,-0.72,-0.47,-0.12,0.03
T1,-0.31,-1.74,0.0,0.0
T2,-0.0,0.75,-2.03,-0.0
D_0,0.0,1.04,-0.01,-1.35
