,T0,T1,T2,A_1
T0,-0.74,-0.16,-0.22,-0.01
T1,-0.56,-1.68,0.0,-0.12
T2,-0.0,0.82,-2.04,-0.0
A_1,-0.36,-0.53,0.0,-2.18
