,T0,T1,T2,C_3
T0,-0.72,-0.58,0.36,-0.1
T1,-0.57,-1.72,0.0,-0.44
T2,0.0,0.68,-2.11,-0.0
C_3,-0.65,-0.05,-0.01,-0.23
