,T0,T1,T2,B_2
T0,-0.71,-0.74,0.0,-0.01
T1,-0.49,-1.89,0.0,0.1
T2,0.34,0.61,-2.16,-0.28
B_2,-0.05,0.0,-0.19,-1.51
