,T0,T1,T2,C_1
T0,-0.89,-0.77,-0.0,-0.61
T1,-0.94,-2.11,-0.01,-0.14
T2,-0.0,-0.0,-2.15,0.31
C_1,-0.34,-0.01,0.0,-1.81
