,T0,T1,T2,D_0
T0,-0.88,-0.82,-0.0,-0.32
T1,-0.88,-2.13,-0.01,0.0
T2,-0.0,-0.01,-2.11,0.0
D_0,-0.0,0.18,0.3,-0.94
