,T0,T1,T2,C_0
T0,-0.91,-0.72,0.0,-0.0
T1,-0.09,-2.12,0.22,1.15
T2,0.4,0.0,-2.26,-0.0
C_0,-0.13,0.0,-0.0,-1.27
