,T0,T1,T2,D_0
T0,-0.99,-0.02,0.3,-0.0
T1,-0.66,-1.73,0.47,0.0
T2,0.0,0.0,-2.14,-0.0
D_0,0.0,1.6,-0.14,-1.59
