,T0,T1,T2,E_2
T0,-0.93,-0.18,0.0,-0.24
T1,-0.32,-1.72,0.0,-0.24
T2,0.33,0.42,-2.41,0.94
E_2,-0.56,-0.48,0.0,-2.06
