,T0,T1,T2,A_0
T0,-0.96,-0.1,0.01,0.0
T1,-0.44,-1.71,0.0,-0.09
T2,0.33,0.42,-2.27,-0.41
A_0,0.0,-0.28,-0.36,-2.45
