,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),SMARCA4 (M)
ATRX (M),-3.36,-0.19,-0.64,-0.05,0.0
SETD2 (M),-0.23,-3.02,-0.19,0.0,-0.42
BCL2/18q (Del),-0.01,-0.44,-1.07,0.46,-0.3
SMAD4 (M),-0.13,0.0,0.0,-3.35,-0.8
SMARCA4 (M),0.0,-0.05,-0.96,-0.62,-2.47
